celda,origen,plano,bin,ancla,n_semillas,frac_lcc_inicial,media_nulo_uniforme,desvio_nulo_uniforme,z,p_empirico
disease_a_gene,Disease,gene,alto,C4521256,19,0.10526315789473684,0.061894736842105245,0.022639166414770633,1.9156368330035518,0.157
disease_a_gene,Disease,gene,alto,C1266042,113,0.3185840707964602,0.032336283185840704,0.01683344027257789,17.004711038000032,0.0
disease_a_gene,Disease,gene,alto,C0376634,137,0.46715328467153283,0.03302919708029197,0.018282267423576255,23.74563709922587,0.0
disease_a_gene,Disease,gene,alto,C1510472,81,0.04938271604938271,0.03308641975308642,0.014843593447100383,1.0978673293884702,0.176
disease_a_gene,Disease,gene,alto,C0233794,39,0.20512820512820512,0.04207692307692308,0.019155733954269637,8.51187860723757,0.001
disease_a_gene,Disease,gene,alto,C0025261,38,0.21052631578947367,0.043289473684210523,0.018551698371453054,9.014637838366514,0.0
disease_a_gene,Disease,gene,alto,C0205646,30,0.3,0.047599999999999996,0.01945981614621383,12.970317813054356,0.0
disease_a_gene,Disease,gene,alto,C0205644,109,0.5321100917431193,0.03240366972477064,0.01637807662157156,30.510690208897024,0.0
disease_a_gene,Disease,gene,alto,C0035334,78,0.07692307692307693,0.03382051282051282,0.016089391149475336,2.6789431434743665,0.03
disease_a_gene,Disease,gene,alto,C0036690,24,0.08333333333333333,0.055041666666666655,0.02342092932732507,1.2079651610433297,0.283
disease_a_gene,Disease,gene,alto,C1527352,22,0.18181818181818182,0.05727272727272727,0.022471285626015046,5.542426749329734,0.004
disease_a_gene,Disease,gene,alto,C0011609,20,0.1,0.05985000000000001,0.021224455234469506,1.8916857726833207,0.186
disease_a_gene,Disease,gene,alto,C0546126,84,0.4166666666666667,0.033178571428571425,0.01506613820486734,25.453642467862384,0.0
disease_a_gene,Disease,gene,alto,C0011881,42,0.11904761904761904,0.041285714285714294,0.016309854011255915,4.767786683328922,0.003
disease_a_gene,Disease,gene,alto,C0013182,29,0.06896551724137931,0.04734482758620689,0.01950246180990618,1.108613356914269,0.336
disease_a_gene,Disease,gene,alto,C0036095,43,0.09302325581395349,0.04051162790697674,0.017610594677327885,2.981820254745907,0.023
disease_a_gene,Disease,gene,alto,C0030567,75,0.3466666666666667,0.03409333333333334,0.015542063355080411,20.111443776296213,0.0
disease_a_gene,Disease,gene,alto,C0001956,34,0.058823529411764705,0.04432352941176471,0.019059890129922208,0.7607598942680355,0.436
disease_a_gene,Disease,gene,alto,C0004134,22,0.09090909090909091,0.0564090909090909,0.021747945661507152,1.5863567316642417,0.221
gene_a_disease,Gene,disease,bajo,150684,6,0.3333333333333333,0.16699999999999995,0.007446102634562891,22.338307903688683,0.002
gene_a_disease,Gene,disease,bajo,678,5,0.4,0.20060000000000003,0.010938007131100254,18.230011885167087,0.003
gene_a_disease,Gene,disease,bajo,406,5,0.1,0.10070000000000001,0.008337265738837885,-0.0839603800487206,1.0
gene_a_disease,Gene,disease,bajo,27125,6,0.16666666666666666,0.1668333333333333,0.005267826876426369,-0.03163859985841315,1.0
gene_a_disease,Gene,disease,bajo,2921,5,0.6,0.20000000000000004,2.7755575615628914e-17,1.4411518807585584e+16,0.0
gene_a_disease,Gene,disease,bajo,5311,5,0.1,0.1004,0.0063118935352238035,-0.06337242505244738,1.0
gene_a_disease,Gene,disease,bajo,5034,6,0.2,0.10070000000000001,0.008337265738837885,11.91037962691126,0.007
