id_a,id_b,nombre_a,nombre_b,grado_a,grado_b,n_senales,nombre,sinonimo,referencia,externo,vecindario,jaccard,detalle_nombre,detalle_sinonimo,detalle_referencia,detalle_externo,detalle_vecindario,detalle_jaccard,alguno_es_cascara,de_identidad
CHEMBL4297723,DRUGBANK:DB14707,CEMIPLIMAB,Cemiplimab,37,338,2,True,True,False,False,False,False,cemiplimab,Cemiplimab,,,,,True,True
CHEMBL4297724,DRUGBANK:DB09261,CERTOPARIN,Certoparin,3,300,2,True,True,False,False,False,False,certoparin,Certoparin,,,,,True,True
CHEMBL4297727,DRUGBANK:DB01401,CHOLINE MAGNESIUM TRISALICYLATE,Choline magnesium trisalicylate,1,1411,2,True,True,False,False,False,False,choline magnesium trisalicylate,Choline magnesium trisalicylate,,,,,True,True
CHEMBL4297730,DRUGBANK:DB12820,CONCIZUMAB,Concizumab,2,334,2,True,True,False,False,False,False,concizumab,Concizumab,,,,,True,True
CHEMBL4297741,DRUGBANK:DB15226,DASIGLUCAGON,Dasiglucagon,4,2,2,True,True,False,False,False,False,dasiglucagon,Dasiglucagon,,,,,True,True
CHEMBL4297747,DRUGBANK:DB06423,ENDOSTATIN,Endostatin,9,13,2,True,True,False,False,False,False,endostatin,Endostatin,,,,,True,True
CHEMBL4297749,DRUGBANK:DB12266,EPOFOLATE,Epofolate,1,287,2,True,True,False,False,False,False,epofolate,Epofolate,,,,,True,True
CHEMBL4297750,DRUGBANK:DB15303,FARICIMAB,Faricimab,8,3,2,True,True,False,False,False,False,faricimab,Faricimab,,,,,False,True
CHEMBL4297752,DRUGBANK:DB09147,FERRIC PYROPHOSPHATE,Ferric pyrophosphate,1,156,2,True,True,False,False,False,False,ferric pyrophosphate,Ferric pyrophosphate,,,,,True,True
CHEMBL4297753,DRUGBANK:DB11210,FERROUS BISGLYCINATE,Ferrous bisglycinate,1,122,2,True,True,False,False,False,False,ferrous bisglycinate,Ferrous bisglycinate,,,,,True,True
CHEMBL4297756,DRUGBANK:DB14041,FREMANEZUMAB,Fremanezumab,4,334,2,True,True,False,False,False,False,fremanezumab,Fremanezumab,,,,,True,True
CHEMBL4297760,DRUGBANK:DB15066,GIVOSIRAN,Givosiran,3,962,2,True,True,False,False,False,False,givosiran,Givosiran,,,,,True,True
CHEMBL4297762,DRUGBANK:DB15593,GOLODIRSEN,Golodirsen,2,737,2,True,True,False,False,False,False,golodirsen,Golodirsen,,,,,True,True
CHEMBL4297770,DRUGBANK:DB14713,INOTERSEN,Inotersen,2,991,2,True,True,False,False,False,False,inotersen,Inotersen,,,,,True,True
CHEMBL4297778,DRUGBANK:DB16222,LONCASTUXIMAB TESIRINE,Loncastuximab tesirine,10,2,2,True,True,False,False,False,False,loncastuximab tesirine,Loncastuximab tesirine,,,,,True,True
CHEMBL4297779,DRUGBANK:DB15935,LUMASIRAN,Lumasiran,3,1,2,True,True,False,False,False,False,lumasiran,Lumasiran,,,,,True,True
CHEMBL4297788,DRUGBANK:DB15434,MOSUNETUZUMAB,Mosunetuzumab,8,1,2,True,True,False,False,False,False,mosunetuzumab,Mosunetuzumab,,,,,True,True
CHEMBL4297794,DRUGBANK:DB15252,NEMOLIZUMAB,Nemolizumab,4,335,2,True,True,False,False,False,False,nemolizumab,Nemolizumab,,,,,True,True
