id_a,id_b,nombre_a,nombre_b,grado_a,grado_b,n_senales,nombre,sinonimo,referencia,externo,vecindario,jaccard,detalle_nombre,detalle_sinonimo,detalle_referencia,detalle_externo,detalle_vecindario,detalle_jaccard,alguno_es_cascara,de_identidad
HP_0410055,HP_0410059,Decreased level of erythritol in urine,Increased level of D-threitol in urine,2,2,1,False,False,False,False,True,False,,,,,a9f17dabf897696412b134ada4331362e807df76,,False,False
HP_0410055,HP_0410070,Decreased level of erythritol in urine,Increased level of ribitol in urine,2,2,1,False,False,False,False,True,False,,,,,a9f17dabf897696412b134ada4331362e807df76,,False,False
HP_0410055,HP_0410072,Decreased level of erythritol in urine,Increased level of ribose in urine,2,2,1,False,False,False,False,True,False,,,,,a9f17dabf897696412b134ada4331362e807df76,,False,False
HP_0410055,HP_0410074,Decreased level of erythritol in urine,Increased level of xylitol in urine,2,2,1,False,False,False,False,True,False,,,,,a9f17dabf897696412b134ada4331362e807df76,,False,False
HP_0410056,HP_0410058,Decreased CSF erythritol concentration,Increased CSF D-threitol concentration,2,2,1,False,False,False,False,True,False,,,,,dc14381ea6c28e6cd0ef2223168688055e6cf45b,,False,False
HP_0410056,HP_0410071,Decreased CSF erythritol concentration,Increased CSF ribitol concentration,2,2,1,False,False,False,False,True,False,,,,,dc14381ea6c28e6cd0ef2223168688055e6cf45b,,False,False
HP_0410056,HP_0410073,Decreased CSF erythritol concentration,Increased CSF ribose concentration,2,2,1,False,False,False,False,True,False,,,,,dc14381ea6c28e6cd0ef2223168688055e6cf45b,,False,False
HP_0410056,HP_0410075,Decreased CSF erythritol concentration,Increased CSF xylitol concentration,2,2,1,False,False,False,False,True,False,,,,,dc14381ea6c28e6cd0ef2223168688055e6cf45b,,False,False
HP_0410058,HP_0410071,Increased CSF D-threitol concentration,Increased CSF ribitol concentration,2,2,1,False,False,False,False,True,False,,,,,dc14381ea6c28e6cd0ef2223168688055e6cf45b,,False,False
HP_0410058,HP_0410073,Increased CSF D-threitol concentration,Increased CSF ribose concentration,2,2,1,False,False,False,False,True,False,,,,,dc14381ea6c28e6cd0ef2223168688055e6cf45b,,False,False
HP_0410058,HP_0410075,Increased CSF D-threitol concentration,Increased CSF xylitol concentration,2,2,1,False,False,False,False,True,False,,,,,dc14381ea6c28e6cd0ef2223168688055e6cf45b,,False,False
HP_0410059,HP_0410070,Increased level of D-threitol in urine,Increased level of ribitol in urine,2,2,1,False,False,False,False,True,False,,,,,a9f17dabf897696412b134ada4331362e807df76,,False,False
HP_0410059,HP_0410072,Increased level of D-threitol in urine,Increased level of ribose in urine,2,2,1,False,False,False,False,True,False,,,,,a9f17dabf897696412b134ada4331362e807df76,,False,False
HP_0410059,HP_0410074,Increased level of D-threitol in urine,Increased level of xylitol in urine,2,2,1,False,False,False,False,True,False,,,,,a9f17dabf897696412b134ada4331362e807df76,,False,False
HP_0410065,HP_6000267,Increased level of hippuric acid in blood,Elevated circulating methionine sulfoxide concentration,2,2,1,False,False,False,False,True,False,,,,,676284123456fb76a4960a27e73957151c87c7da,,False,False
HP_0410070,HP_0410072,Increased level of ribitol in urine,Increased level of ribose in urine,2,2,1,False,False,False,False,True,False,,,,,a9f17dabf897696412b134ada4331362e807df76,,False,False
HP_0410070,HP_0410074,Increased level of ribitol in urine,Increased level of xylitol in urine,2,2,1,False,False,False,False,True,False,,,,,a9f17dabf897696412b134ada4331362e807df76,,False,False
HP_0410071,HP_0410073,Increased CSF ribitol concentration,Increased CSF ribose concentration,2,2,1,False,False,False,False,True,False,,,,,dc14381ea6c28e6cd0ef2223168688055e6cf45b,,False,False
HP_0410071,HP_0410075,Increased CSF ribitol concentration,Increased CSF xylitol concentration,2,2,1,False,False,False,False,True,False,,,,,dc14381ea6c28e6cd0ef2223168688055e6cf45b,,False,False
HP_0410072,HP_0410074,Increased level of ribose in urine,Increased level of xylitol in urine,2,2,1,False,False,False,False,True,False,,,,,a9f17dabf897696412b134ada4331362e807df76,,False,False
HP_0410073,HP_0410075,Increased CSF ribose concentration,Increased CSF xylitol concentration,2,2,1,False,False,False,False,True,False,,,,,dc14381ea6c28e6cd0ef2223168688055e6cf45b,,False,False
HP_0410281,meddra:10013946,Dyspepsia,Dyspepsia,1,10,1,True,False,False,False,False,False,dyspepsia,,,,,,True,True
HP_3000007,HP_3000029,Abnormality of mentalis muscle,Abnormality of depressor labii inferioris,2,2,1,False,False,False,False,True,False,,,,,40cf30d468e944485893d7e9f7a946e715e21d8c,,False,False
HP_3000015,HP_3000018,Abnormality of risorius muscle,Abnormality of zygomaticus major muscle,2,2,1,False,False,False,False,True,False,,,,,c9b7e70caf1bc74773ec6a2bcab931207a7dc02d,,False,False
