id_a,id_b,nombre_a,nombre_b,grado_a,grado_b,n_senales,nombre,sinonimo,referencia,externo,vecindario,jaccard,detalle_nombre,detalle_sinonimo,detalle_referencia,detalle_externo,detalle_vecindario,detalle_jaccard,alguno_es_cascara,de_identidad,grado_secundario
EFO_1000420,MONDO_0002697,Ovarian Gonadoblastoma,ovarian gonadoblastoma,1,11,2,True,True,False,False,False,False,ovarian gonadoblastoma,ovarian gonadoblastoma,,,,,False,True,1
EFO_1000421,MONDO_0023283,Ovarian Granulosa Cell Tumor,ovarian granulosa cell tumor,157,14,2,True,True,False,False,False,False,ovarian granulosa cell tumor,ovarian granulosa cell tumor,,,,,False,True,14
EFO_1000440,MONDO_0024638,Pancreatic Gastrinoma,pancreatic gastrinoma,15,12,2,True,True,False,False,False,False,pancreatic gastrinoma,pancreatic gastrinoma,,,,,False,True,12
EFO_1000567,MONDO_0003395,Testicular Granulosa Cell Tumor,testicular granulosa cell tumor,4,18,2,True,True,False,False,False,False,testicular granulosa cell tumor,testicular granulosa cell tumor,,,,,False,True,4
EFO_1000569,MONDO_0003124,Testicular Leydig Cell Tumor,testicular Leydig cell tumor,49,9,2,True,True,False,False,False,False,testicular leydig cell tumor,testicular Leydig cell tumor,,,,,False,True,9
EFO_1000817,MONDO_0009025,apparent mineralocorticoid excess syndrome,apparent mineralocorticoid excess,3,84,2,True,True,False,False,False,False,apparent mineralocorticoid excess,apparent mineralocorticoid EXCESS,,,,,False,True,3
EFO_1001120,MONDO_0003019,potassium deficiency,potassium deficiency disease,151,100,2,True,True,False,False,False,False,potassium deficiency,potassium deficiency disorder,,,,,False,True,100
EFO_1001167,MONDO_0017705,scimitar syndrome,congenital pulmonary venous return anomaly,219,223,2,False,True,False,False,False,True,,scimitar syndrome,,,,0.964,False,True,219
EFO_1001347,MONDO_0043653,Herpes Labialis,herpes labialis,53,14,2,True,True,False,False,False,False,herpes labialis,herpes labialis,,,,,False,True,14
EFO_1001411,MONDO_0043919,Radiation Pneumonitis,radiation pneumonitis,200,99,2,True,True,False,False,False,False,radiation pneumonitis,radiation pneumonitis,,,,,False,True,99
EFO_1001888,MONDO_0043885,eye infection,eye infectious disorder,367,1462,2,False,True,False,True,False,False,,eye infection,,C0015403,,,False,True,367
EFO_1001919,MONDO_0043797,Spinal cord injury,spinal cord injury,3042,1018,2,True,True,False,False,False,False,spinal cord injury,spinal cord injury,,,,,False,True,1018
MONDO_0000133,Orphanet_2268,immunodeficiency-centromeric instability-facial anomalies syndrome,ICF syndrome,64,574,2,False,True,True,False,False,False,,ICF syndrome,Orphanet:2268,,,,False,True,64
MONDO_0000193,Orphanet_168588,cortisone reductase deficiency,Hyperandrogenism due to cortisone reductase deficiency,6,239,2,False,True,True,False,False,False,,hyperandrogenism due to cortisone reductase deficiency,Orphanet:168588,,,,False,True,6
MONDO_0000211,Orphanet_228169,"striatal degeneration, autosomal dominant",Autosomal dominant striatal neurodegeneration,163,137,2,False,True,True,False,False,False,,autosomal dominant striatal neurodegeneration,Orphanet:228169,,,,False,True,137
MONDO_0000212,Orphanet_300547,"hypercalcemia, infantile",Autosomal recessive infantile hypercalcemia,121,80,2,False,True,True,False,False,False,,autosomal recessive infantile hypercalcemia,Orphanet:300547,,,,False,True,80
MONDO_0000355,Orphanet_75840,Ullrich congenital muscular dystrophy,"Congenital muscular dystrophy, Ullrich type",145,57,2,False,True,True,False,False,False,,"congenital muscular dystrophy, Ullrich type",Orphanet:75840,,,,False,True,57
MONDO_0000405,MONDO_0007108,anal canal cancer,anal canal carcinoma,170,171,2,False,True,False,False,False,True,,anal canal cancer,,,,0.905,False,True,170
MONDO_0000447,Orphanet_2924,autosomal dominant polycystic liver disease,Isolated polycystic liver disease,191,69,2,False,True,True,False,False,False,,isolated polycystic liver disease,Orphanet:2924,,,,False,True,69
MONDO_0000453,Orphanet_51083,short QT syndrome,Familial short QT syndrome,57,460,2,False,True,True,False,False,False,,familial short QT syndrome,Orphanet:51083,,,,False,True,57
MONDO_0000455,Orphanet_1871,cone dystrophy,Progressive cone dystrophy,188,210,2,False,True,True,False,False,False,,progressive cone dystrophy,Orphanet:1871,,,,False,True,188
MONDO_0000554,MONDO_0004259,endocervical adenocarcinoma,endocervical carcinoma,668,719,2,False,True,False,False,False,True,,endocervical adenocarcinoma,,,,0.924,False,True,668
MONDO_0000688,Orphanet_289899,inborn organic aciduria,Organic aciduria,1122,93,2,False,True,True,False,False,False,,organic aciduria,Orphanet:289899,,,,False,True,93
MONDO_0000721,MONDO_0018106,xanthinuria,hereditary xanthinuria,168,166,2,False,True,False,False,False,True,,xanthinuria,,,,0.942,False,True,166
MONDO_0000722,MONDO_0021651,non-syndromic synpolydactyly,synpolydactyly,164,168,2,False,True,False,False,False,True,,synpolydactyly,,,,0.908,False,True,164
MONDO_0000736,Orphanet_241,dyschromatosis universalis hereditaria,Dyschromatosis universalis,75,47,2,False,True,True,False,False,False,,dyschromatosis universalis,Orphanet:241,,,,False,True,47
MONDO_0000863,Orphanet_2598,"myopathy, lactic acidosis, and sideroblastic anemia",Mitochondrial myopathy and sideroblastic anemia,7,80,2,False,True,True,False,False,False,,mitochondrial myopathy and sideroblastic anemia,Orphanet:2598,,,,False,True,7
MONDO_0000902,Orphanet_1496,agenesis of the corpus callosum with peripheral neuropathy,Corpus callosum agenesis - neuronopathy,82,67,2,False,True,True,False,False,False,,corpus callosum agenesis neuronopathy,Orphanet:1496,,,,False,True,67
MONDO_0000914,Orphanet_136,"cerebral arteriopathy, autosomal dominant, with subcortical infarcts and leukoencephalopathy, type 1",CADASIL,48,162,2,False,True,True,False,False,False,,CADASIL,Orphanet:136,,,,False,True,48
MONDO_0000995,Orphanet_371433,familial periodic paralysis,Genetic periodic paralysis,1302,68,2,False,True,True,False,False,False,,genetic periodic paralysis,Orphanet:371433,,,,True,True,68
MONDO_0001082,MONDO_0024339,lymph node cancer,lymph node neoplasm,5625,5629,2,False,True,False,False,False,True,,lymph node neoplasm,,,,0.998,False,True,5625
MONDO_0001187,MONDO_0004986,urinary bladder cancer,urinary bladder carcinoma,7817,7405,2,False,True,False,False,False,True,,urinary bladder cancer,,,,0.942,False,True,7405
MONDO_0001235,MONDO_0003196,appendix cancer,appendix carcinoma,353,349,2,False,True,False,False,False,True,,appendix cancer,,,,0.918,False,True,349
MONDO_0001309,Orphanet_98685,oculomotor nerve paralysis,Oculomotor palsy,4691,168,2,False,True,True,False,False,False,,oculomotor palsy,Orphanet:98685,,,,True,True,168
MONDO_0001347,Orphanet_269,facioscapulohumeral muscular dystrophy,Facioscapulohumeral dystrophy,452,264,2,False,True,True,False,False,False,,facioscapulohumeral dystrophy,Orphanet:269,,,,False,True,264
MONDO_0002256,MONDO_0021230,cervix disorder,uterine cervix neoplasm,8384,8375,2,False,True,False,False,False,True,,cervix,,,,0.997,False,True,8375
